skill_id,code,name,Skill Builder ID,prereq_id,prereq_code,prereq_name,prereq_remediation_problem_set_id-2
282,1.G.A.1,Draw shapes w/ defining attributes,,,,,
276,1.G.A.2,Compose composite shapes,,,,,
283,1.G.A.3,Decompose shapes into fractions,,,,,
284,1.MD.A.1,Order objects by length,,,,,
285,1.MD.A.2,Measure length using unit pieces,,,,,
286,1.MD.B.3,Tell time (hours/half),,,,,
287,1.MD.C.4,"Organize, represent, and interpret categorical data",,,,,
288,1.NBT.A.1,"Count, read, & write numbers to 120",,,,,
289,1.NBT.B.2a,10 as a bundle of ones,,,,,
290,1.NBT.B.2b,Decompose numbers 11-19,,,,,
291,1.NBT.B.2c,Decompose multples of 10,,,,,
292,1.NBT.B.3,Compare 2-digit numbers,,,,,
293,1.NBT.C.4,Add within 100,,,,,
294,1.NBT.C.5,Add/Subtract 10 mentally,,,,,
295,1.NBT.C.6,Subtract multiples of 10,,,,,
296,1.OA.A.1,Add/Subtract within 20 in context,,,,,
297,1.OA.A.2,Add 3 whole numbers within 20 in context,,,,,
277,1.OA.B.3,Properties (commutative/associative),,,,,
278,1.OA.B.4,Subtraction as unknown addend,,,,,
298,1.OA.C.5,Counting on to add/subtract,,,,,
299,1.OA.C.6,Add/subtract within 20 (fluently to 10),,,,,
300,1.OA.D.7,Recognizing equivalent add/subtract expressions,,,,,
279,1.OA.D.8,Missing whole number (add/subtract) equations,,,,,
301,2.G.A.1,"Identify triangles, quadrilaterals, pentagons, hexagons, and cubes",,,,,
302,2.G.A.2,Partition a rectangle into equal size pieces,,,,,
303,2.G.A.3,Partition circles & rectangles to create fractional pieces,,,,,
304,2.MD.A.1,Measure length,,,,,
305,2.MD.A.2,Measure length with different units,,,,,
306,2.MD.A.3,Estimate length,,,,,
307,2.MD.A.4,Use measurements to compare lengths,,,,,
308,2.MD.B.5,Use add/subtraction within 100 in context of length,,,,,
309,2.MD.B.6,Use number line to add/subtract within 100,,,,,
310,2.MD.C.7,Tell and Write Time From Analog and Digital Clocks,,,,,
311,2.MD.C.8,Money,,,,,
312,2.MD.D.10,Use bar graph to solove problems,,,,,
313,2.MD.D.9,Line plot using measurements,,,,,
314,2.NBT.A.1a,Decompose 100,,,,,
315,2.NBT.A.1b,Compose multiples of 100,,,,,
316,2.NBT.A.2,Count within 1000 & skip count,,,,,
317,2.NBT.A.3,Read & write to 1000,,,,,
318,2.NBT.A.4,"Compare 3-digit numbers using >, =, <",,,,,
319,2.NBT.B.5,Fluently add/subtract within 100,,,,,
320,2.NBT.B.6,Add 4 2-digit numbers,,,,,
321,2.NBT.B.7,Add/subtract within 1000,,,,,
322,2.NBT.B.8,Add/subtract 100 mentally,,,,,
323,2.NBT.B.9,Explain addition & subtraction,,,,,
280,2.OA.A.1,"Add/Subtract within 100, 1&2-step word problems",,,,,
324,2.OA.B.2,Fluently add/subtract within 20,,,,,
325,2.OA.C.3,Identify Odd/Even,,,,,
326,2.OA.C.4,Add using arrays,,,,,
32,3.G.A.1,Classifying shapes,,,,,
33,3.G.A.2,Area as unit fraction,,,,,
20,3.MD.A.1,Elapsed Time,37824,,,,
21,3.MD.A.2,Word problems mass & volume,,,,,
22,3.MD.B.3,Bar Graphs,78955,,,,
23,3.MD.B.4,Line plot,,,,,
24,3.MD.C.5a,Unit square,,,,,
25,3.MD.C.5b,Unit square to find area,,,,,
